# entity	source_path	class	shape	context	feature	evidence
#
# THE ENTITY DENOMINATOR. Until this file existed, "how many entities still need notes?" had no
# answer, so "finished" was a claim rather than a measurement, and it was wrong every time it was
# made. Every candidate class file in the domain layer is here exactly once.
#
# class  — the skill's four documented types (aggregate-root, legacy-poco-root, child, lookup) plus
#          the classes that legitimately are NOT knowledge-graph entities (projection, join-table,
#          enum-only, identity-framework, keyless-view, dto, infrastructure).
# shape  — pair (business + technical note) | single (one note) | covered-by:<canonical note>
#          | none (excluded classes only).
# evidence — REQUIRED on every excluded row. An exclusion without a stated reason is how a blind
#          spot enters a graph that reports itself complete; _depth-ledger.tsv enforces the same rule
#          on depth claims, for the same reason.
#
# verify-notes.js checks this file in four directions: a candidate file with no row FAILS, a row
# whose file left git FAILS, a row whose note is missing FAILS, and a note claiming an entity with no
# row FAILS. Expectation therefore comes from code and observation from disk - never both from the
# same place, which is the error that produced two false "all clear" results in this project.
AboutApp	Shared/TalabatkLogic/TalabatkModels/AboutApp.cs	lookup	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	lookup; documented inside the Notification-Delivery note
AdCard	Shared/TalabatkLogic/TalabatkModels/AdCard.cs	legacy-poco-root	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	legacy-poco-root; documented inside the Notification-Delivery note
AdReservation	Shared/TalabatkLogic/TalabatkModels/AdReservation.cs	child	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	child owned by AdCard; documented inside the Notification-Delivery note
AdminOrderHistoryStoredProcure	Shared/TalabatkLogic/TalabatkModels/AdminOrderHistoryStoredProcure.cs	keyless-view	none	-	-	registered `.HasNoKey().ToView(null)` in Shared/TalabatkData/Talabatk_Context/TalabatkContext.cs:97-121 — a query shape, not a table
AdminOrderList	Shared/TalabatkLogic/TalabatkModels/AdminOrderList.cs	projection	none	-	-	stored-procedure / report result shape named in _inbox/pathA-A-models-batch04-final.md — no invariants
Ads	Shared/TalabatkLogic/TalabatkModels/Ads.cs	legacy-poco-root	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	legacy-poco-root; documented inside the Notification-Delivery note
Announcement	Shared/TalabatkLogic/TalabatkModels/Announcement.cs	legacy-poco-root	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	legacy-poco-root; documented inside the Notification-Delivery note
AnnouncementDescription	Shared/TalabatkLogic/TalabatkModels/AnnouncementDescription.cs	child	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	child owned by Announcement; documented inside the Notification-Delivery note
ApiKey	Shared/TalabatkLogic/TalabatkModels/ApiKey.cs	child	single	Admin	Admin Back-Office	existing canonical note ApiKey.md
Application	Shared/TalabatkLogic/TalabatkModels/Application.cs	lookup	covered-by:Identity	Identity & Access	Authentication & Tokens	lookup; documented inside the Identity note
Area	Shared/TalabatkLogic/TalabatkModels/Area.cs	child	covered-by:Area-and-Country	Admin	City & Geography Administration	child owned by CityRushTimeConfiguration/RushTimeAreaPriority; documented inside the Area-and-Country note
AreaDecription	Shared/TalabatkLogic/TalabatkModels/AreaDecription.cs	child	covered-by:Area-and-Country	Admin	City & Geography Administration	child owned by Area; documented inside the Area-and-Country note
AspNetRole	Shared/TalabatkLogic/TalabatkModels/AspNetRole.cs	identity-framework	none	-	-	ASP.NET Identity plumbing subclass — no business invariants (pathA-A-models-batch04-final.md "Checked and clean")
AspNetRoleClaims	Shared/TalabatkLogic/TalabatkModels/AspNetRoleClaims.cs	identity-framework	none	-	-	ASP.NET Identity plumbing subclass — no business invariants (pathA-A-models-batch04-final.md "Checked and clean")
AspNetUser	Shared/TalabatkLogic/TalabatkModels/AspNetUser.cs	child	covered-by:Identity	Identity & Access	Restaurant & Admin User Identity	child owned by AspNetUserShift; documented inside the Identity note
AspNetUserAttendance	Shared/TalabatkLogic/TalabatkModels/AspNetUserAttendance.cs	legacy-poco-root	covered-by:Identity	Identity & Access	Restaurant & Admin User Identity	legacy-poco-root; documented inside the Identity note
AspNetUserClaim	Shared/TalabatkLogic/TalabatkModels/AspNetUserClaim.cs	identity-framework	none	-	-	ASP.NET Identity plumbing subclass — no business invariants (pathA-A-models-batch04-final.md "Checked and clean")
AspNetUserLogin	Shared/TalabatkLogic/TalabatkModels/AspNetUserLogin.cs	identity-framework	none	-	-	ASP.NET Identity plumbing subclass — no business invariants (pathA-A-models-batch04-final.md "Checked and clean")
AspNetUserRestaurant	Shared/TalabatkLogic/TalabatkModels/AspNetUserRestaurant.cs	child	covered-by:Identity	Identity & Access	Restaurant & Admin User Identity	child owned by AspNetUser; documented inside the Identity note
AspNetUserRole	Shared/TalabatkLogic/TalabatkModels/AspNetUserRole.cs	identity-framework	none	-	-	ASP.NET Identity plumbing subclass — no business invariants (pathA-A-models-batch04-final.md "Checked and clean")
AspNetUserShift	Shared/TalabatkLogic/TalabatkModels/AspNetUserShift.cs	legacy-poco-root	covered-by:Identity	Identity & Access	Restaurant & Admin User Identity	legacy-poco-root; documented inside the Identity note
AspNetUserTokens	Shared/TalabatkLogic/TalabatkModels/AspNetUserTokens.cs	identity-framework	none	-	-	ASP.NET Identity plumbing subclass — no business invariants (pathA-A-models-batch04-final.md "Checked and clean")
Audiance	Shared/TalabatkLogic/TalabatkModels/Audiance.cs	child	single	Customer Ordering	Marketing & Content	existing canonical note Audiance.md
AudianceFilter	Shared/TalabatkLogic/TalabatkModels/AudianceFilter.cs	child	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	child owned by Audiance; documented inside the Notification-Delivery note
AudienceCustomer	Shared/TalabatkLogic/TalabatkModels/AudienceCustomer.cs	child	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	child owned by Audiance; documented inside the Notification-Delivery note
AudienceCustomerAds	Shared/TalabatkLogic/TalabatkModels/AudienceCustomerAds.cs	child	covered-by:Notification-Delivery	Customer Ordering	Marketing & Content	child owned by CustomerAds; documented inside the Notification-Delivery note
Audit	Shared/TalabatkLogic/TalabatkModels/Audit.cs	lookup	covered-by:Configuration	Admin	Admin Back-Office	lookup; documented inside the Configuration note
